Category, Sink ID, Process ID, Thread ID, Time (Ticks), Text
PROCESS_OUTPUT,STREAM_STDIO,39,100393,24653154399605,"launching : /host/D:\Vampire_Platformer_PS4\Build\eboot.self 
"
PROCESS_OUTPUT,STREAM_STDIO,39,100393,24653154478757,"[Syscore App]TRACE : W:\Build\J02485716\sys\internal\syscore\app\app_syscore_event.cpp 926 setWaitState()
"
PROCESS_OUTPUT,STREAM_STDIO,39,100393,24653154504121,"[Syscore App] Syscore Event Queue Push : SCE_SYSCORE_EVENT_LAUNCH_REQUEST_FROM_DEBUGGER
"
PROCESS_OUTPUT,STREAM_STDIO,39,100393,24653154529099,"[Syscore App]TRACE : W:\Build\J02485716\sys\internal\syscore\app\app_syscore_event.cpp 961 receiveResult()
"
PROCESS_OUTPUT,STREAM_STDIO,39,100151,24653154676230,"[Syscore App] Syscore Event Queue Pop : SCE_SYSCORE_EVENT_LAUNCH_REQUEST_FROM_DEBUGGER
"
PROCESS_OUTPUT,STREAM_STDIO,42,100212,24653219748055,"[SceLncService] convertToSysCoreKillReason: {0x00000000}->{0x00000000}
"
PROCESS_OUTPUT,STREAM_STDIO,42,100212,24653220050629,"[SceLncService] Cleaning /av_contents/content_tmp
"
PROCESS_OUTPUT,STREAM_STDIO,48,100855,24653221269737,"[VCS]checkCpuUsage() [LNC->VCS] ShellUI is Fg. Recover cpu usage.
"
PROCESS_OUTPUT,STREAM_STDIO,42,101737,24653239279239,"[SceLncService] ProcessTerm()
"
PROCESS_OUTPUT,STREAM_STDIO,42,101737,24653240792731,"[sceProcessStarter] ProcessTerm() big/mini app title_id = [NPXX51362] root_dir = [/mnt/sandbox/DBUG0000B_000]
"
PROCESS_OUTPUT,STREAM_STDIO,42,101737,24653331443254,"[BGFT] [641] GameStopped(NPXX51362, 3) start
"
PROCESS_OUTPUT,STREAM_STDIO,42,101737,24653331796813,"[BGFT] [643] GameStopped(NPXX51362, 3) end
"
PROCESS_OUTPUT,STREAM_STDIO,42,101737,24653332175623,"[SceLncService] ProcessTerm() returned
"
PROCESS_OUTPUT,STREAM_STDIO,48,100854,24653337600170,"[VCS]checkFocusStatus() [LNC->VCS] Focus Change. appType = 1(SHELL_UI). appId = 0x60000201.
"
PROCESS_OUTPUT,STREAM_STDIO,42,100212,24653383599197,"[SceLncService] onAppExit() appId={0x6000210b}
"
PROCESS_OUTPUT,STREAM_STDIO,44,100660,24653451018071,"[ProfileCacheManager] JobUpdate.Run(0x10000000, Normal)
"
PROCESS_OUTPUT,STREAM_STDIO,44,100660,24653452240517,"[ProfileCacheManager] JobUpdate.RunForLocalUser(0x10000000, Normal)
"
